,LOO,Radius,Time
0,0.7607041947402738,0.38196601125010515,476.92752718925476
1,0.6344272984133884,0.6180339887498949,467.43365001678467
2,0.8256900673766573,0.23606797749978972,462.6514756679535
3,0.7607041947402738,0.3819660112501052,469.682954788208
4,0.8269941317104977,0.1458980337503155,461.63454127311707
5,0.8256900673766573,0.23606797749978975,460.9745705127716
6,0.8061291023690502,0.09016994374947426,459.70826029777527
7,0.8267767876548576,0.18033988749894853,460.9033205509186
8,0.8141708324277331,0.1246117974981073,460.6317958831787
9,0.8250380352097371,0.15905365124674034,460.03317284584045
10,0.819604433818735,0.13776741499453216,459.25009989738464
11,0.8269941317104977,0.14589803375031551,459.031613111496
12,0.8241686589871767,0.15092303249095698,461.2932507991791
13,0.8243860030428167,0.14279241373517365,459.7003405094147
