,LOO,Radius,Time
0,0.7172353836122582,38.19660112501052,460.8123815059662
1,0.7187567920017387,61.80339887498949,461.4974048137665
2,0.7187567920017387,61.80339887498948,472.9454779624939
3,0.7035427081069333,76.39320225002103,458.4531719684601
4,0.7176700717235384,52.78640450004206,461.06056332588196
5,0.7150619430558575,67.3762078750736,460.2113823890686
6,0.7172353836122582,58.35921350012618,461.98281836509705
7,0.7172353836122582,63.9320225002103,460.44185042381287
8,0.716583351445338,60.487837125347,471.60751700401306
9,0.7176700717235384,62.61646075056782,480.51052951812744
10,0.7174527276678982,61.300899000925334,465.17842078208923
11,0.7161486633340578,62.11396087650367,498.8594946861267
